position,layer,n95,n99,n_dims_above_noise,scree3,noise3,tortuosity,planarity2,split_half_r,snr,mean_pr
R0,26,3,8,16,0.020308876410126686,0.0006649990100413561,2.068054676055908,0.9342624545097351,0.9960632868385737,0.27270811796188354,5.524276831570794
T3,27,6,11,16,0.03853931650519371,0.0028044087812304497,3.036360740661621,0.8711513876914978,0.9925825604875659,0.25890299677848816,8.943829031551585
R0,27,4,8,16,0.023371420800685883,0.0010384280467405915,2.0909945964813232,0.9250993728637695,0.9953258120792852,0.21701399981975555,4.689538492875941
T3,28,6,11,16,0.03559185564517975,0.002700219629332423,2.926258087158203,0.8677493333816528,0.9930704567451208,0.26002973318099976,9.091556605170755
R0,28,4,8,16,0.021740848198533058,0.0009137564338743687,2.0442757606506348,0.9275152087211609,0.9946603855419869,0.23378650844097137,4.768583550172694
T3,29,6,11,16,0.034041877835989,0.002551217330619693,2.8836240768432617,0.8694930672645569,0.991949462025013,0.26138827204704285,8.910447877996107
R0,29,4,8,16,0.023106597363948822,0.0009199824999086559,2.0534298419952393,0.9248286485671997,0.9943454698612469,0.22933591902256012,4.724059006747077
T3,30,6,11,16,0.0332564041018486,0.0025037992745637894,2.924868106842041,0.8716086149215698,0.9915619832397221,0.2708260416984558,8.81491439482745
R0,30,4,9,16,0.02809864841401577,0.0011788965202867985,2.0658345222473145,0.9063491821289062,0.9943079057274093,0.22547081112861633,4.363943955477546
T3,31,6,11,16,0.03347951918840408,0.002413502661511302,2.9258816242218018,0.8709783554077148,0.9914594834885198,0.2644447088241577,8.777909194721895
R0,31,4,9,16,0.02885419689118862,0.0012269648723304272,2.069546937942505,0.9051861763000488,0.99424416068486,0.22144155204296112,4.294280332677505
T3,32,6,11,16,0.034324806183576584,0.002449174877256155,2.965108633041382,0.868342399597168,0.9909484270035682,0.2612544298171997,8.906688858481015
R0,32,4,9,16,0.02923947386443615,0.0013372329995036125,2.052501678466797,0.9038400053977966,0.9939722253527487,0.2096639722585678,4.355452733881333
T3,33,6,11,16,0.03399159386754036,0.0023662971798330545,2.9647278785705566,0.8701081275939941,0.9907119969814487,0.2588467001914978,8.986551733577953
R0,33,4,9,16,0.029244018718600273,0.0013802982866764069,2.061682939529419,0.9029573202133179,0.9940491599279003,0.20793859660625458,4.4127801165861245
T3,34,6,11,16,0.03485655412077904,0.0024482200387865305,2.971478223800659,0.8682081699371338,0.9911164206703909,0.2590760588645935,9.244970938738655
R0,34,5,10,16,0.03258869796991348,0.0013909945264458656,2.0458648204803467,0.890764594078064,0.9937468672025552,0.20464323461055756,4.303399226244758
T3,35,6,11,16,0.03473060578107834,0.002445271471515298,2.934720277786255,0.870389461517334,0.990685634910386,0.26630792021751404,9.376814673928653
R0,35,6,11,16,0.03316593915224075,0.0013943682424724102,2.1658804416656494,0.865125298500061,0.9934988591172832,0.20393122732639313,4.478001342100256
T3,36,6,11,16,0.03522331267595291,0.0023493727203458548,2.963447332382202,0.8670021891593933,0.9905060531976561,0.26096564531326294,9.373768638162051
R0,36,7,12,16,0.03449977561831474,0.0014331917045637965,2.3118958473205566,0.8519898056983948,0.9937250737247174,0.20744046568870544,4.44219025443582
T3,37,5,11,16,0.033371493220329285,0.0023024508263915777,2.9517650604248047,0.8714255094528198,0.9909240544205213,0.2555966079235077,9.472650920643526
R0,37,7,12,16,0.033494774252176285,0.0013651364715769887,2.1742382049560547,0.853769838809967,0.9935691527107569,0.20163770020008087,4.491134278914508
T3,38,5,11,16,0.0312496330589056,0.0022690333425998688,2.9577317237854004,0.8782450556755066,0.9909175033769119,0.2521836757659912,9.598398264716653
R0,38,6,12,16,0.04187825322151184,0.0012551745167002082,2.2396738529205322,0.8379481434822083,0.9930807526112941,0.20409780740737915,4.5442214012146
T3,39,5,11,16,0.03018483705818653,0.002466407837346196,3.0377731323242188,0.8781601190567017,0.9900376938361349,0.24908968806266785,9.634384996750775
R0,39,7,12,16,0.039768852293491364,0.0012713015312328935,2.2332303524017334,0.8383607268333435,0.9928868176772265,0.20144937932491302,4.567415938657873
T3,40,5,11,16,0.03311445191502571,0.002739907940849662,2.7789535522460938,0.8726375102996826,0.9904709306925861,0.24778927862644196,9.814927942612591
R0,40,6,11,16,0.035003114491701126,0.0012138800229877234,2.0903401374816895,0.8627780675888062,0.9914708565027722,0.19858317077159882,4.273055791854858
