tag,layer,position,test_within2x,mention_within2x,mention_rho,role_within2x,role_rho
train-structured+plain+varied-investment+climate,22,T5,0.8715277777777778,0.4625,0.7187409913534165,0.08333333333333333,0.7361250442177261
train-structured+plain+varied-investment+climate,22,T6,0.9409722222222222,0.3625,0.8013311831798756,0.03333333333333333,0.8531726575190631
train-structured+plain+varied-investment+climate,22,T7,0.7951388888888888,0.25416666666666665,0.7615148111693735,0.12083333333333333,0.6228295442969981
train-structured+plain+varied-investment+climate,22,T8,0.8923611111111112,0.6083333333333333,0.7256681823235399,0.1625,0.9063757233631937
train-structured+plain+varied-investment+climate,22,R0,0.9201388888888888,0.4791666666666667,0.6422614692403568,0.15,0.9210480889610161
train-structured+plain+varied-investment+climate,26,T0,0.9236111111111112,0.775,0.4629584366952219,0.17083333333333334,0.7789332666156812
train-structured+plain+varied-investment+climate,26,T1,0.9548611111111112,0.8416666666666667,0.5753718395268435,0.35,0.7403821579295061
train-structured+plain+varied-investment+climate,26,T2,0.8159722222222222,0.7916666666666666,0.22374505607698258,0.7875,0.49337620488942296
train-structured+plain+varied-investment+climate,26,T3,0.8888888888888888,0.3958333333333333,0.28261619527789283,0.31666666666666665,0.7424186596949334
train-structured+plain+varied-investment+climate,26,T4,0.6354166666666666,0.5333333333333333,0.635897725687154,0.15,0.5328252849297354
train-structured+plain+varied-investment+climate,26,T5,0.8611111111111112,0.4375,0.6709369491435637,0.03333333333333333,0.8374872517040252
train-structured+plain+varied-investment+climate,26,T6,0.9409722222222222,0.5916666666666667,0.764304266563158,0.09166666666666666,0.8762615505623602
train-structured+plain+varied-investment+climate,26,T7,0.8923611111111112,0.38333333333333336,0.7371059912514619,0.30416666666666664,0.7073178800126144
train-structured+plain+varied-investment+climate,26,T8,0.90625,0.6916666666666667,0.7012610987613043,0.25833333333333336,0.8319947760471191
train-structured+plain+varied-investment+climate,26,R0,0.9444444444444444,0.6916666666666667,0.6387805101985332,0.2875,0.7922912418416594
train-structured+plain+varied-investment+climate,29,T0,0.8958333333333334,0.55,0.5308855389252531,0.375,0.5796088108804595
train-structured+plain+varied-investment+climate,29,T1,0.9027777777777778,0.7625,0.48412287603218973,0.375,0.7489749795576597
train-structured+plain+varied-investment+climate,29,T2,0.7847222222222222,0.725,0.238403370695301,0.6875,0.3990327638287884
train-structured+plain+varied-investment+climate,29,T3,0.8472222222222222,0.425,0.24817992133003697,0.26666666666666666,0.39481125633124386
train-structured+plain+varied-investment+climate,29,T4,0.7326388888888888,0.4125,0.5465904419273894,0.5791666666666667,0.41177414363751574
train-structured+plain+varied-investment+climate,29,T5,0.8055555555555556,0.3958333333333333,0.6277772242785754,0.058333333333333334,0.678398252277173
train-structured+plain+varied-investment+climate,29,T6,0.9097222222222222,0.575,0.7455915614409575,0.125,0.8225929986004175
train-structured+plain+varied-investment+climate,29,T7,0.8229166666666666,0.4666666666666667,0.732199050110575,0.125,0.6389891206723446
train-structured+plain+varied-investment+climate,29,T8,0.9166666666666666,0.7583333333333333,0.5534572945377655,0.42916666666666664,0.7005427121989766
train-structured+plain+varied-investment+climate,29,R0,0.9097222222222222,0.5583333333333333,0.6557911526691576,0.5208333333333334,0.6623085856639233
train-structured+plain+varied-investment+climate,33,T0,0.8611111111111112,0.18333333333333332,0.3608064618209098,0.3958333333333333,0.6351831637482572
train-structured+plain+varied-investment+climate,33,T1,0.9166666666666666,0.7083333333333334,0.5364774723803934,0.36666666666666664,0.7803457911877356
train-structured+plain+varied-investment+climate,33,T2,0.7361111111111112,0.6458333333333334,0.14063222119199303,0.5041666666666667,0.4400611097370876
