layer,position,alpha,n,rmse,bias,rmse_debiased,medae,rho,within2x
18,R0,10000.0,192,1.410532641673073,0.07660455794177579,1.4084509487120107,1.1841209038681626,0.7088570485268515,0.15625
22,T0,1.0,192,1.0978588536671847,0.6897108239163172,0.8541621871448654,0.3596871132638173,0.8637606051275178,0.484375
22,T0,10.0,192,0.964473639052358,0.5444140441446714,0.7961298568480785,0.285574052688773,0.8829953861827767,0.5104166666666666
22,T0,100.0,192,0.7699961439154431,0.2838355775653534,0.7157733066780251,0.3014655249707494,0.8926332828735781,0.5
22,T0,1000.0,192,0.7839883834041005,-0.008718234700042718,0.7839399069420371,0.47847437858581543,0.8809857821919288,0.3541666666666667
22,T0,10000.0,192,1.2667410250529774,-0.025284589481431974,1.266488655332934,1.1202572092003464,0.825126993711625,0.16145833333333334
22,T1,1.0,192,0.8594963206148865,0.4031060903995447,0.7591043439694715,0.2214968204498291,0.8843077806257794,0.5625
22,T1,10.0,192,0.7776967693764608,0.3061251684754305,0.7149123347127767,0.23428010940551758,0.8927153075262657,0.546875
22,T1,100.0,192,0.6229627720898113,0.16007945634218182,0.6020441703621203,0.30135440826416016,0.9250330206852082,0.5
22,T1,1000.0,192,0.6735475339778014,-0.0008334448209193721,0.6735470183270861,0.34567491059224853,0.9252790946432711,0.4479166666666667
22,T1,10000.0,192,1.167989039460583,-0.022015569634317094,1.1677815339324953,0.978925864673053,0.9060853259143561,0.14583333333333334
22,T3,1.0,192,2.218221112507887,1.5029029294579441,1.631498602084126,1.0698146308151188,0.599600211146874,0.4427083333333333
22,T3,10.0,192,2.0943076598198114,1.4033173863817465,1.554614063701547,1.1388570857282532,0.6248638041746766,0.3958333333333333
22,T3,100.0,192,1.5202014318242905,0.9618004853257748,1.177264719486542,0.9926493167877197,0.7383449111680692,0.3177083333333333
22,T3,1000.0,192,0.8839417552114813,0.34187553832721834,0.8151528340745856,0.45740139780877476,0.8681899363726521,0.375
22,T3,10000.0,192,1.2483111231124049,0.06298941477655062,1.2467208964769385,1.0392377666718602,0.8671236158877124,0.171875
22,T5,1.0,192,1.2295550401071826,0.7720340662056419,0.9569582003781345,0.44471659089197135,0.8259062279121578,0.4375
22,T5,10.0,192,1.1794402831125466,0.6906136716136547,0.9561025771374693,0.5502063969346837,0.835298050644896,0.3541666666666667
22,T5,100.0,192,0.9272484339363811,0.38598411477895705,0.843093068039215,0.5123805588169943,0.8542457454157482,0.34375
22,T5,1000.0,192,0.997523285759589,0.15704124865226077,0.9850841344039328,0.6407880783081055,0.8152840353891044,0.23958333333333334
22,T5,10000.0,192,1.3831487157293247,0.027059611030341452,1.3828839963187682,1.1902408366415782,0.7780448430689019,0.13020833333333334
22,T8,1.0,192,1.1959835116276551,0.7837312613655341,0.9034057062270564,0.35444847983720484,0.8404656037642194,0.4739583333333333
22,T8,10.0,192,1.2136771865904545,0.7879285093127898,0.9231364890752861,0.3892397880554199,0.8380868888362769,0.4479166666666667
22,T8,100.0,192,1.005014490312809,0.6157860874860697,0.7942679775726289,0.4967288565870178,0.877950870042485,0.421875
22,T8,1000.0,192,0.8742494651202615,0.29611299802032237,0.8225747501999315,0.48581498145263424,0.908094929905204,0.3385416666666667
22,T8,10000.0,192,1.3156410365500633,0.04694660413493342,1.3148031614712228,1.111622966149548,0.8689281582468413,0.14583333333333334
22,R0,1.0,192,1.2167267925205292,0.7959659690389248,0.9202511960161855,0.5076089417251644,0.829597337283103,0.4739583333333333
22,R0,10.0,192,1.1742964543520742,0.7710974111884049,0.8856528355752002,0.5071501731872559,0.8477657978534221,0.4375
22,R0,100.0,192,0.8964336950924559,0.5493745773761682,0.708364978969084,0.43082237243652344,0.9044858451869465,0.421875
22,R0,1000.0,192,0.7383588843602509,0.22609059708607324,0.7028918010782153,0.402590274810791,0.935778250187293,0.40625
22,R0,10000.0,192,1.2374813803627875,0.05425540522776173,1.236291437221888,1.02938289489218,0.9270836370023999,0.1875
26,T0,1.0,192,1.2483453767700452,0.8061309824118229,0.9531626403184797,0.4955122470855713,0.8314428919685756,0.484375
26,T0,10.0,192,1.1672598354993104,0.7245965433348429,0.9151258782031434,0.3833013397534586,0.8431314049765687,0.46875
26,T0,100.0,192,0.8961456626923616,0.45375742338391273,0.7727750316141978,0.35609228260192305,0.878443017958611,0.4427083333333333
