layer,position,n_horizon,rho_pc1_horizon,rho_pc2_horizon,rho_pc3_horizon,rho_pc1_reward_ratio,rho_pc1_short_reward,rho_pc1_short_delay,rho_pc1_long_delay,evr_pc1,evr_pc2,evr_pc3,cum_evr_2,cum_evr_5,cum_evr_10,n_pc_horizon,evr_top10,rho_top10,n_choice,silhouette_choice_pc3,rho_pc1_p_short,ridge_r2_horizon
20,T5,1927,-0.5983166002402365,-0.562222953900234,-0.20591371264337507,-0.09502029915665786,-0.271372349025204,0.009635697623693632,-0.060790649837428865,0.2210473269224167,0.13070441782474518,0.105970598757267,0.35175174474716187,0.6096464991569519,0.7371358871459961,2,"[0.221, 0.1307, 0.106, 0.0906, 0.0614, 0.0362, 0.0275, 0.0239, 0.0201, 0.0199]","[0.598, 0.562, 0.206, 0.03, 0.199, 0.084, 0.079, 0.072, 0.114, 0.008]",2000,0.14264503121376038,0.545293310205882,
20,T6,1927,-0.09704897035022544,-0.96347611550633,0.18971964094727325,-0.04486245947585526,-0.07825329297823141,0.17366981892020125,-0.18589457701867435,0.29092392325401306,0.20959576964378357,0.06987001746892929,0.5005196928977966,0.6672641038894653,0.789608895778656,1,"[0.2909, 0.2096, 0.0699, 0.0561, 0.0408, 0.0352, 0.0279, 0.0211, 0.0204, 0.0177]","[0.097, 0.963, 0.19, 0.001, 0.018, 0.08, 0.025, 0.085, 0.067, 0.02]",2000,0.13030864298343658,0.3614898991204387,
20,T7,1927,0.45665687422363754,-0.4071672976675069,-0.4650234363306703,0.22798803997980494,0.6141432129879014,-0.03251169093215405,0.24526475461138222,0.31493330001831055,0.11613742262125015,0.09956729412078857,0.4310707151889801,0.6592136025428772,0.773260235786438,4,"[0.3149, 0.1161, 0.0996, 0.0872, 0.0414, 0.0317, 0.0285, 0.0221, 0.0192, 0.0127]","[0.457, 0.407, 0.465, 0.437, 0.056, 0.212, 0.085, 0.058, 0.067, 0.109]",2000,0.09579699486494064,-0.27816563469582334,
20,T8,1927,0.13527828140933662,-0.9369147462109884,-0.2239648006564016,0.11903299512169455,0.2198456237126076,-0.17586769239000405,0.26163771744706843,0.22101613879203796,0.20276466012001038,0.08234262466430664,0.42378079891204834,0.6287776827812195,0.7730035781860352,1,"[0.221, 0.2028, 0.0823, 0.0668, 0.0558, 0.0433, 0.0379, 0.0242, 0.0211, 0.0178]","[0.135, 0.937, 0.224, 0.13, 0.03, 0.018, 0.003, 0.01, 0.057, 0.042]",2000,0.11624889820814133,-0.3340524444040214,
20,R0,1927,0.38278996501844115,-0.8745024631593216,-0.13084065458953212,-0.06611267404156092,-0.10900967343198394,0.19121970930923404,-0.10167072888437433,0.3146417438983917,0.22845563292503357,0.08715465664863586,0.5430973768234253,0.7253795266151428,0.8301774263381958,2,"[0.3146, 0.2285, 0.0872, 0.0544, 0.0407, 0.0301, 0.028, 0.0174, 0.0158, 0.0136]","[0.383, 0.875, 0.131, 0.06, 0.004, 0.076, 0.116, 0.082, 0.034, 0.001]",2000,0.12620267271995544,0.06590345618397801,
20,R1,1927,-0.7882913062891415,0.4582451788374036,-0.058907440187871314,-0.07776546867492333,-0.05665961202995026,0.03193760922051954,-0.13001307988291427,0.4165607690811157,0.16556882858276367,0.0944778174161911,0.5821295976638794,0.7656707763671875,0.8501774668693542,2,"[0.4166, 0.1656, 0.0945, 0.0512, 0.0378, 0.0268, 0.0187, 0.0167, 0.0124, 0.0101]","[0.788, 0.458, 0.059, 0.006, 0.016, 0.013, 0.161, 0.076, 0.065, 0.026]",2000,0.2358652651309967,0.6428977876985604,
20,R2,1927,-0.855984527397723,-0.30347631666883385,0.027249255282734683,-0.017837581911574935,-0.03607553290060655,-0.1332766363181285,0.03905678200970733,0.21327434480190277,0.1708899736404419,0.09910787642002106,0.38416433334350586,0.6135069131851196,0.7592235207557678,2,"[0.2133, 0.1709, 0.0991, 0.0778, 0.0524, 0.0484, 0.035, 0.0236, 0.0209, 0.0179]","[0.856, 0.303, 0.027, 0.058, 0.017, 0.059, 0.111, 0.027, 0.04, 0.006]",2000,0.11530135571956635,0.39841328141821414,
20,R3,1927,-0.011778074685699332,-0.03706639190822938,-0.45507733922365257,-0.03616285235116228,0.06861891670749264,0.24607412384125554,0.08728700256874142,0.3926762044429779,0.318450391292572,0.1413441300392151,0.7111265659332275,0.8943143486976624,0.9333047866821289,3,"[0.3927, 0.3185, 0.1413, 0.0243, 0.0175, 0.0115, 0.0081, 0.0068, 0.0066, 0.0061]","[0.012, 0.037, 0.455, 0.128, 0.12, 0.181, 0.151, 0.057, 0.553, 0.443]",2000,0.25822198390960693,0.08418647515924453,
20,R4,1927,0.09092375315625505,0.0024383168428418305,-0.06357551819148437,-0.0903682932381607,-0.00031036177671660796,0.13630447151444042,-0.1555669291215251,0.4548475444316864,0.22854351997375488,0.1973131000995636,0.6833910942077637,0.9331305623054504,0.9616362452507019,5,"[0.4548, 0.2285, 0.1973, 0.035, 0.0174, 0.011, 0.0068, 0.0045, 0.0032, 0.003]","[0.091, 0.002, 0.064, 0.487, 0.411, 0.229, 0.09, 0.481, 0.429, 0.304]",2000,0.10174203664064407,-0.2723753566765662,
20,R5,1927,-0.14717846490817152,0.08421514497466448,0.12978892110275247,0.021752718456806288,0.09189170403250178,-0.16028763223100434,0.3099513172501842,0.4970368444919586,0.231868714094162,0.1040322482585907,0.7289055585861206,0.8873618841171265,0.937391996383667,1,"[0.497, 0.2319, 0.104, 0.0352, 0.0193, 0.0136, 0.0114, 0.0104, 0.0076, 0.0071]","[0.147, 0.084, 0.13, 0.726, 0.131, 0.069, 0.067, 0.244, 0.069, 0.274]",2000,0.06531964242458344,0.27552792468468246,
20,R6,1927,0.06892404988770427,0.1557487183902444,-0.3037680636765832,-0.08045291204716314,0.08519726712244334,0.084905252959638,0.06743876843380688,0.3176375925540924,0.20755065977573395,0.06182821840047836,0.5251882672309875,0.6945035457611084,0.8185189962387085,3,"[0.3176, 0.2076, 0.0618, 0.0561, 0.0514, 0.0344, 0.031, 0.0263, 0.0195, 0.0129]","[0.069, 0.156, 0.304, 0.36, 0.325, 0.229, 0.074, 0.101, 0.249, 0.1]",2000,0.07437194883823395,-0.1419699949900624,
20,R7,1927,-0.016868330288706834,0.1828870837949121,0.080231473610339,0.02260733301785193,-0.2521425132548869,-0.06775593635287745,0.07974994977853633,0.22833114862442017,0.14307276904582977,0.09305192530155182,0.37140393257141113,0.5958846211433411,0.7487669587135315,1,"[0.2283, 0.1431, 0.0931, 0.0748, 0.0566, 0.0517, 0.0382, 0.0269, 0.0195, 0.0166]","[0.017, 0.183, 0.08, 0.406, 0.103, 0.09, 0.06, 0.095, 0.055, 0.215]",2000,0.1186312884092331,0.1667800886350316,
21,T0,1927,-0.9541453009911345,0.07344291642162894,-0.09488434769870635,-0.09512442790956198,-0.18402882277711025,0.04472397150383953,-0.06012955038887959,0.21229887008666992,0.20698945224285126,0.07851491868495941,0.4192883372306824,0.6205669641494751,0.7605371475219727,1,"[0.2123, 0.207, 0.0785, 0.0658, 0.057, 0.0519, 0.0276, 0.0234, 0.0198, 0.0174]","[0.954, 0.073, 0.095, 0.109, 0.194, 0.069, 0.013, 0.061, 0.013, 0.004]",2000,0.13250048458576202,0.4228320378131682,
21,T1,1927,0.943143954774411,0.261734114002791,0.11147489858270421,0.06199205430435209,0.03284385053307606,-0.10558121857283419,0.07082539925111958,0.2906656861305237,0.1832691878080368,0.11994431912899017,0.4739348888397217,0.7035917639732361,0.810257613658905,1,"[0.2907, 0.1833, 0.1199, 0.066, 0.0437, 0.028, 0.0246, 0.0211, 0.0169, 0.0161]","[0.943, 0.262, 0.111, 0.03, 0.013, 0.081, 0.092, 0.085, 0.048, 0.008]",2000,0.1759214550256729,-0.4722605020138891,
21,T2,1927,-0.6489000122374852,0.13424475263372943,0.017739181469879375,-0.04945746294349038,0.03271543940294918,-0.026450332058080634,-0.09015762777403095,0.42070260643959045,0.10449367761611938,0.06905100494623184,0.5251963138580322,0.6886899471282959,0.7908015847206116,2,"[0.4207, 0.1045, 0.0691, 0.0564, 0.038, 0.0256, 0.0237, 0.022, 0.0169, 0.0139]","[0.649, 0.134, 0.018, 0.374, 0.283, 0.071, 0.196, 0.027, 0.068, 0.102]",2000,0.2451990395784378,0.7209760324456027,
21,T3,1927,-0.5593147418494614,0.5206997473722473,-0.35556761875232856,-0.03914956373904479,-0.04892813718523563,-0.15333715713763074,0.06262133840088456,0.2906951606273651,0.20547086000442505,0.08468127995729446,0.49616602063179016,0.6990344524383545,0.8104209303855896,3,"[0.2907, 0.2055, 0.0847, 0.067, 0.0512, 0.031, 0.0255, 0.0218, 0.0174, 0.0157]","[0.559, 0.521, 0.356, 0.001, 0.101, 0.016, 0.177, 0.043, 0.004, 0.033]",2000,0.12109997868537903,0.06894816301251885,
21,T4,1927,-0.29087573808700207,0.03686079147540495,0.7281599929540294,-0.06080207848984352,-0.23432239262566043,-0.04386958094315997,0.14003319121212293,0.9984963536262512,0.0004182295233476907,0.00025590485893189907,0.9989145994186401,0.9994043111801147,0.9996289610862732,2,"[0.9985, 0.0004, 0.0003, 0.0001, 0.0001, 0.0001, 0.0001, 0.0, 0.0, 0.0]","[0.291, 0.037, 0.728, 0.046, 0.094, 0.376, 0.236, 0.003, 0.214, 0.197]",2000,0.03400039300322533,-0.07501049401367955,
21,T5,1927,0.11771335678087282,-0.8483759215263535,0.34639934937974887,-0.23178468370220415,-0.5514231771693842,0.10054818637297866,-0.19677218632569532,0.2461657077074051,0.16121378540992737,0.11232403665781021,0.40737950801849365,0.6508243680000305,0.7749229073524475,2,"[0.2462, 0.1612, 0.1123, 0.0726, 0.0586, 0.04, 0.0282, 0.0209, 0.0188, 0.0163]","[0.118, 0.848, 0.346, 0.01, 0.012, 0.26, 0.076, 0.057, 0.127, 0.067]",2000,0.11307167261838913,0.13939384318254958,
21,T6,1927,0.1787725303859988,-0.9038599780724867,-0.25159024719441836,0.09273930202493667,0.14002985495650247,-0.16214742918662314,0.1780696918529717,0.3480491042137146,0.18735741078853607,0.06698542833328247,0.5354065299034119,0.689152717590332,0.8016694784164429,1,"[0.348, 0.1874, 0.067, 0.05, 0.0368, 0.033, 0.0258, 0.0212, 0.0178, 0.0147]","[0.179, 0.904, 0.252, 0.011, 0.018, 0.079, 0.064, 0.117, 0.003, 0.042]",2000,0.1354692131280899,-0.3893431359500008,
21,T7,1927,0.47076146870162394,-0.2748701579277016,-0.5336130147981236,0.2236463788234944,0.6011144837583091,-0.008834697962376247,0.23484186322030817,0.31574496626853943,0.11118841171264648,0.10382978618144989,0.4269333779811859,0.6574980020523071,0.7740500569343567,3,"[0.3157, 0.1112, 0.1038, 0.0865, 0.0402, 0.0331, 0.0286, 0.0235, 0.0184, 0.0129]","[0.471, 0.275, 0.534, 0.44, 0.024, 0.22, 0.025, 0.048, 0.063, 0.109]",2000,0.10049370676279068,-0.3198488250388615,
21,T8,1927,-0.24444566392942227,-0.8911359473869592,0.2103481689769177,-0.12617917303935197,-0.21148928319137983,0.1535471447424476,-0.23933109924214782,0.22452102601528168,0.19409693777561188,0.08547958731651306,0.41861796379089355,0.6282423138618469,0.7718797922134399,1,"[0.2245, 0.1941, 0.0855, 0.0661, 0.058, 0.0438, 0.038, 0.0242, 0.0202, 0.0174]","[0.244, 0.891, 0.21, 0.174, 0.042, 0.014, 0.005, 0.037, 0.033, 0.073]",2000,0.11986538767814636,0.40127149724695976,
21,R0,1927,0.31063227535830523,-0.9102122460984028,-0.12304794641178263,-0.06777247963421118,-0.12131481091667752,0.1914730104814362,-0.0990190743476688,0.3361181318759918,0.23469211161136627,0.0833926796913147,0.5708102583885193,0.7403155565261841,0.8409091234207153,2,"[0.3361, 0.2347, 0.0834, 0.0497, 0.0364, 0.0308, 0.0255, 0.0166, 0.0148, 0.0128]","[0.311, 0.91, 0.123, 0.071, 0.014, 0.09, 0.123, 0.072, 0.026, 0.009]",2000,0.13530907034873962,0.14700633925410006,
21,R1,1927,-0.8251225613232909,-0.4394979701252738,-0.054250890240192265,-0.0638926633822987,-0.0245019581028172,0.043958106147266945,-0.11884770708931801,0.38032853603363037,0.1712234616279602,0.10415590554475784,0.5515519976615906,0.7544232606887817,0.8468425273895264,2,"[0.3803, 0.1712, 0.1042, 0.0591, 0.0396, 0.0307, 0.0194, 0.0169, 0.014, 0.0114]","[0.825, 0.439, 0.054, 0.01, 0.028, 0.037, 0.11, 0.049, 0.118, 0.043]",2000,0.2237364798784256,0.6253559924249994,
21,R2,1927,-0.9538081064040619,-0.03911998324582386,-0.044544064897174884,-0.04452461980376419,-0.07884180996004482,-0.030768322602848733,-0.03719692313811765,0.22057858109474182,0.16824303567409515,0.10262957215309143,0.3888216018676758,0.6189761757850647,0.7631856799125671,1,"[0.2206, 0.1682, 0.1026, 0.0703, 0.0572, 0.045, 0.0327, 0.0268, 0.0222, 0.0176]","[0.954, 0.039, 0.045, 0.035, 0.08, 0.015, 0.072, 0.101, 0.081, 0.059]",2000,0.1334432065486908,0.4688306693305458,
21,R3,1927,-0.17815998636524677,0.041853862088209154,-0.4724233608649816,-0.012315550031315358,0.054117525887650036,0.19070638521143723,0.11559479348924871,0.39440253376960754,0.3111077845096588,0.13595148921012878,0.7055103182792664,0.886803388595581,0.9308210015296936,3,"[0.3944, 0.3111, 0.136, 0.0268, 0.0186, 0.0127, 0.0091, 0.0079, 0.0074, 0.007]","[0.178, 0.042, 0.472, 0.166, 0.125, 0.141, 0.513, 0.406, 0.1, 0.162]",2000,0.252137154340744,0.2916117277141958,
21,R4,1927,-0.03234790919531933,0.0474934244793266,-0.12965066337046516,0.15495073634129272,0.06900848429965965,-0.05111994149181296,0.17628730432434775,0.47222092747688293,0.23735874891281128,0.1773698925971985,0.7095797061920166,0.9343591332435608,0.9621005654335022,4,"[0.4722, 0.2374, 0.1774, 0.0303, 0.0171, 0.0108, 0.0059, 0.0045, 0.0035, 0.003]","[0.032, 0.047, 0.13, 0.515, 0.467, 0.183, 0.053, 0.207, 0.446, 0.418]",2000,0.09136199951171875,0.28557034353209637,
21,R5,1927,0.031800933237554785,-0.08218004990298271,0.08695549399439799,0.013672451096425989,0.10686835374254308,-0.15037266516466188,0.3002613301658173,0.4765471816062927,0.21531522274017334,0.09343573451042175,0.6918624043464661,0.8510387539863586,0.9188560843467712,1,"[0.4765, 0.2153, 0.0934, 0.0391, 0.0266, 0.0207, 0.0171, 0.0125, 0.0095, 0.0081]","[0.032, 0.082, 0.087, 0.767, 0.018, 0.02, 0.053, 0.189, 0.15, 0.262]",2000,0.06281521916389465,0.21068778108341238,
21,R6,1927,0.03776873977073897,0.16428120013625572,-0.13726474746869938,-0.0658945283649083,0.08256498930515871,0.07609541179102548,0.06772211747307708,0.28382810950279236,0.19138148427009583,0.06660821288824081,0.4752095937728882,0.6553011536598206,0.7865708470344543,1,"[0.2838, 0.1914, 0.0666, 0.0634, 0.0501, 0.0351, 0.0317, 0.0268, 0.0223, 0.0154]","[0.038, 0.164, 0.137, 0.532, 0.025, 0.203, 0.101, 0.025, 0.203, 0.11]",2000,0.08638209849596024,-0.1425854293545295,
