position,layer,n95,n99,n_dims_above_noise,scree3,noise3,tortuosity,planarity2,split_half_r,snr,mean_pr
R0,29,5,12,16,0.11557292193174362,0.0007029084372334182,3.787360191345215,0.7973020672798157,0.9982225674702996,0.27997517585754395,5.435559787750244
T3,30,6,13,16,0.1116858422756195,0.0007127400604076684,4.548126220703125,0.7839106321334839,0.9984264162784074,0.23835821449756622,8.309861717224122
R0,30,5,13,16,0.11713480949401855,0.0007546697161160409,3.712998628616333,0.7822843790054321,0.998321481155987,0.26419365406036377,5.121935529708862
T3,31,6,13,16,0.10834252834320068,0.0006922833854332566,4.596777439117432,0.7878362536430359,0.9983163824420063,0.23234637081623077,8.289680862426758
R0,31,5,13,16,0.12174785882234573,0.0007741295266896486,3.7283575534820557,0.7749502062797546,0.9982771268418016,0.25355660915374756,5.10745512008667
T3,32,6,14,16,0.10687718540430069,0.0006870685610920191,4.749416351318359,0.7877025604248047,0.9984129208024438,0.22572815418243408,8.40871618270874
R0,32,6,13,16,0.12304206192493439,0.0008318467880599201,3.7098660469055176,0.7723119854927063,0.9982455109382005,0.2477567195892334,5.1325353908538816
T3,33,6,14,16,0.11154934763908386,0.0006878837593831122,4.876880168914795,0.7828007340431213,0.9982749469181831,0.22424308955669403,8.510413665771484
R0,33,6,13,16,0.1238190084695816,0.0008470028406009078,3.751507043838501,0.769868791103363,0.9981685900407911,0.24650593101978302,5.211316804885865
T3,34,6,14,16,0.11508399993181229,0.000688547152094543,4.952385902404785,0.7789560556411743,0.9983736218607371,0.22077880799770355,8.715606880187988
R0,34,6,14,16,0.12105939537286758,0.0008227155776694417,3.7758514881134033,0.7599917054176331,0.9980879479749973,0.2380107045173645,5.156115217208862
T3,35,6,14,16,0.11487051099538803,0.0006862854934297502,5.03549337387085,0.7803564071655273,0.9983119190102197,0.22874779999256134,8.837351922988892
R0,35,8,16,16,0.11823832988739014,0.0008096455130726099,3.767726182937622,0.743046760559082,0.9980320979801295,0.22547079622745514,5.470723428726196
T3,36,6,13,16,0.11742331087589264,0.0006676450138911605,5.1238508224487305,0.7761409282684326,0.998263579336489,0.22547677159309387,8.832673845291138
R0,36,8,16,16,0.11754190921783447,0.0008149902569130063,3.748136281967163,0.732479989528656,0.9980361147764133,0.22147363424301147,5.506646671295166
T3,37,6,13,16,0.11033792793750763,0.0006566899828612804,5.181280136108398,0.7876187562942505,0.9983031188468929,0.23362323641777039,8.950229797363281
R0,37,8,16,16,0.11909562349319458,0.0008080483530648053,3.751253604888916,0.7307533025741577,0.9978997853855305,0.22063954174518585,5.570106124877929
T3,38,5,13,16,0.09713828563690186,0.0006127746310085058,5.108130931854248,0.8074292540550232,0.9981804879332146,0.24401861429214478,9.064250011444091
R0,38,8,16,16,0.11961311101913452,0.0007959932554513216,3.8772199153900146,0.7159309387207031,0.9973530104836156,0.20955435931682587,5.691177053451538
T3,39,5,13,16,0.09766024351119995,0.0006444327300414443,5.19155216217041,0.8030474185943604,0.9979839271590576,0.2577424943447113,9.120485916137696
R0,39,8,16,16,0.11468319594860077,0.0007642618729732931,4.002945423126221,0.7210195064544678,0.9965523225481949,0.20190107822418213,5.761254005432129
T3,40,6,13,16,0.09838263690471649,0.0006436072289943695,5.097133159637451,0.8017542958259583,0.9980786875355573,0.2650752365589142,9.325981216430664
R0,40,7,16,16,0.10658975690603256,0.0009377803071402013,4.122380256652832,0.7478936314582825,0.9950648586611738,0.22853867709636688,5.468865413665771
